"str_cia_CVM","dte_refer","dt_publi"
"CPFL ENERGIAS RENOVÁVEIS S.A.","2011-03-31","2011-05-16"
"CPFL ENERGIAS RENOVÁVEIS S.A.","2011-06-30","2011-08-11"
"CPFL ENERGIAS RENOVÁVEIS S.A.","2011-09-30","2011-11-11"
"CIA CELG DE PARTICIPACOES - CELGPAR","2011-03-31","2011-09-01"
"CIA CELG DE PARTICIPACOES - CELGPAR","2011-06-30","2011-10-04"
"CIA CELG DE PARTICIPACOES - CELGPAR","2011-09-30","2012-03-15"
"BRASIL BROKERS PARTICIPACOES S.A.","2011-03-31","2011-05-16"
"BRASIL BROKERS PARTICIPACOES S.A.","2011-06-30","2011-08-15"
"BRASIL BROKERS PARTICIPACOES S.A.","2011-09-30","2011-11-14"
"TRISUL S.A.","2011-03-31","2011-05-13"
"TRISUL S.A.","2011-06-30","2011-10-13"
"TRISUL S.A.","2011-09-30","2011-11-14"
"OSX BRASIL S.A.","2011-03-31","2011-05-10"
"OSX BRASIL S.A.","2011-06-30","2011-07-28"
"OSX BRASIL S.A.","2011-09-30","2011-10-27"
"TECHNOS S.A.","2011-03-31","2011-06-30"
"TECHNOS S.A.","2011-06-30","2011-08-09"
"TECHNOS S.A.","2011-09-30","2011-11-09"
"PETRO RIO S.A.","2011-03-31","2011-05-14"
"PETRO RIO S.A.","2011-06-30","2011-08-11"
"PETRO RIO S.A.","2011-09-30","2011-11-10"
"ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.","2011-03-31","2011-05-16"
"ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.","2011-06-30","2011-08-16"
"ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.","2011-09-30","2011-11-15"
"MOURA DUBEUX ENGENHARIA S/A","2011-03-31","2011-11-19"
"MOURA DUBEUX ENGENHARIA S/A","2011-06-30","2012-02-07"
"MOURA DUBEUX ENGENHARIA S/A","2011-09-30","2012-07-04"
"HIDROVIAS DO BRASIL S.A.","2011-03-31","2011-12-15"
"HIDROVIAS DO BRASIL S.A.","2011-06-30","2011-12-15"
"HIDROVIAS DO BRASIL S.A.","2011-09-30","2011-12-15"
"PARANA BCO S.A.","2011-03-31","2011-05-11"
"PARANA BCO S.A.","2011-06-30","2011-08-11"
"PARANA BCO S.A.","2011-09-30","2011-11-10"
"SANSUY S.A. INDUSTRIA DE PLASTICOS","2011-03-31","2011-05-11"
"SANSUY S.A. INDUSTRIA DE PLASTICOS","2011-06-30","2011-08-09"
"SANSUY S.A. INDUSTRIA DE PLASTICOS","2011-09-30","2011-11-04"
"TRONOX PIGMENTOS DO BRASIL S.A.","2011-03-31","2011-05-13"
"TRONOX PIGMENTOS DO BRASIL S.A.","2011-06-30","2011-08-13"
"TRONOX PIGMENTOS DO BRASIL S.A.","2011-09-30","2011-11-16"
"AREZZO INDÚSTRIA E COMÉRCIO S.A.","2011-03-31","2011-05-11"
"AREZZO INDÚSTRIA E COMÉRCIO S.A.","2011-06-30","2011-08-10"
"AREZZO INDÚSTRIA E COMÉRCIO S.A.","2011-09-30","2011-11-09"
"DIRECIONAL ENGENHARIA S.A.","2011-03-31","2011-05-10"
"DIRECIONAL ENGENHARIA S.A.","2011-06-30","2011-08-08"
"DIRECIONAL ENGENHARIA S.A.","2011-09-30","2011-11-10"
"LOCALIZA RENT A CAR S.A.","2011-03-31","2011-05-10"
"LOCALIZA RENT A CAR S.A.","2011-06-30","2011-07-25"
"LOCALIZA RENT A CAR S.A.","2011-09-30","2011-10-24"
"ALFA HOLDINGS S.A.","2011-03-31","2011-05-16"
"ALFA HOLDINGS S.A.","2011-06-30","2011-08-12"
"ALFA HOLDINGS S.A.","2011-09-30","2011-11-11"
"CONSORCIO ALFA DE ADMINISTRACAO S.A.","2011-03-31","2011-05-16"
"CONSORCIO ALFA DE ADMINISTRACAO S.A.","2011-06-30","2011-08-12"
"CONSORCIO ALFA DE ADMINISTRACAO S.A.","2011-09-30","2011-11-11"
"CIA TECIDOS SANTANENSE","2011-03-31","2011-05-16"
"CIA TECIDOS SANTANENSE","2011-06-30","2011-08-15"
