"str_cia_CVM","dte_refer","dt_publi"
"CPFL ENERGIA S.A.","2019-03-31","2019-05-07"
"CPFL ENERGIA S.A.","2019-06-30","2019-08-13"
"CPFL ENERGIA S.A.","2019-09-30","2019-11-12"
"ENGIE BRASIL ENERGIA S.A.","2019-03-31","2019-05-08"
"ENGIE BRASIL ENERGIA S.A.","2019-06-30","2019-08-06"
"ENGIE BRASIL ENERGIA S.A.","2019-09-30","2019-11-05"
"TELEFÔNICA BRASIL S.A","2019-03-31","2019-05-09"
"TELEFÔNICA BRASIL S.A","2019-06-30","2019-07-24"
"TELEFÔNICA BRASIL S.A","2019-09-30","2019-11-04"
"SANTOS BRASIL PARTICIPACOES S.A.","2019-03-31","2019-05-14"
"SANTOS BRASIL PARTICIPACOES S.A.","2019-06-30","2019-08-13"
"SANTOS BRASIL PARTICIPACOES S.A.","2019-09-30","2019-11-12"
"JBS S.A.","2019-03-31","2019-05-13"
"JBS S.A.","2019-06-30","2019-08-14"
"JBS S.A.","2019-09-30","2019-11-14"
"HYPERA S.A.","2019-03-31","2019-04-26"
"HYPERA S.A.","2019-06-30","2019-07-26"
"HYPERA S.A.","2019-09-30","2019-10-25"
"EQUATORIAL ENERGIA S.A.","2019-03-31","2019-05-15"
"EQUATORIAL ENERGIA S.A.","2019-06-30","2019-08-15"
"EQUATORIAL ENERGIA S.A.","2019-09-30","2019-11-12"
"LIGHT S.A.","2019-03-31","2019-05-15"
"LIGHT S.A.","2019-06-30","2019-08-15"
"LIGHT S.A.","2019-09-30","2019-11-13"
"BRADESPAR S.A.","2019-03-31","2019-05-14"
"BRADESPAR S.A.","2019-06-30","2019-08-13"
"BRADESPAR S.A.","2019-09-30","2019-11-13"
"CPFL GERACAO DE ENERGIA S.A.","2019-03-31","2019-05-07"
"CPFL GERACAO DE ENERGIA S.A.","2019-06-30","2019-08-13"
"CPFL GERACAO DE ENERGIA S.A.","2019-09-30","2019-11-12"
"EDP - ENERGIAS DO BRASIL S.A.","2019-03-31","2019-05-08"
"EDP - ENERGIAS DO BRASIL S.A.","2019-06-30","2019-07-24"
"EDP - ENERGIAS DO BRASIL S.A.","2019-09-30","2019-10-23"
"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.","2019-03-31","2019-04-29"
"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.","2019-06-30","2019-07-25"
"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.","2019-09-30","2019-10-29"
"ENEVA S.A","2019-03-31","2019-05-08"
"ENEVA S.A","2019-06-30","2019-08-14"
"ENEVA S.A","2019-09-30","2019-11-05"
"BIOMM S.A.","2019-03-31","2019-05-10"
"BIOMM S.A.","2019-06-30","2019-08-09"
"BIOMM S.A.","2019-09-30","2019-11-04"
"METALFRIO SOLUTIONS S.A.","2019-03-31","2019-05-09"
"METALFRIO SOLUTIONS S.A.","2019-06-30","2019-08-13"
"METALFRIO SOLUTIONS S.A.","2019-09-30","2019-11-11"
"SER EDUCACIONAL S.A.","2019-03-31","2019-05-10"
"SER EDUCACIONAL S.A.","2019-06-30","2019-08-09"
"SER EDUCACIONAL S.A.","2019-09-30","2019-11-08"
"SMILES FIDELIDADE S.A.","2019-03-31","2019-04-26"
"SMILES FIDELIDADE S.A.","2019-06-30","2019-07-30"
"SMILES FIDELIDADE S.A.","2019-09-30","2019-10-29"
"ALIANSCE SONAE SHOPPING CENTERS S.A.","2019-03-31","2019-05-14"
"ALIANSCE SONAE SHOPPING CENTERS S.A.","2019-06-30","2019-07-30"
"ALIANSCE SONAE SHOPPING CENTERS S.A.","2019-09-30","2019-11-13"
"GOL LINHAS AEREAS INTELIGENTES S.A.","2019-03-31","2019-04-30"
"GOL LINHAS AEREAS INTELIGENTES S.A.","2019-06-30","2019-08-01"
"GOL LINHAS AEREAS INTELIGENTES S.A.","2019-09-30","2019-10-31"
"BR MALLS PARTICIPACOES S.A.","2019-03-31","2019-05-09"
"BR MALLS PARTICIPACOES S.A.","2019-06-30","2019-08-08"
"BR MALLS PARTICIPACOES S.A.","2019-09-30","2019-11-13"
"BR PROPERTIES S.A.","2019-03-31","2019-05-07"
"BR PROPERTIES S.A.","2019-06-30","2019-08-07"
"BR PROPERTIES S.A.","2019-09-30","2019-10-30"
"M.DIAS BRANCO S.A. IND COM DE ALIMENTOS","2019-03-31","2019-05-10"
"M.DIAS BRANCO S.A. IND COM DE ALIMENTOS","2019-06-30","2019-08-09"
"M.DIAS BRANCO S.A. IND COM DE ALIMENTOS","2019-09-30","2019-11-08"
"AMBEV S.A.","2019-03-31","2019-05-07"
"AMBEV S.A.","2019-06-30","2019-07-25"
"AMBEV S.A.","2019-09-30","2019-10-25"
"SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.","2019-03-31","2019-05-15"
"SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.","2019-06-30","2019-08-15"
"SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.","2019-09-30","2019-11-14"
"BRASILAGRO - CIA BRAS DE PROP AGRICOLAS","2019-03-31","2019-05-07"
"BRASILAGRO - CIA BRAS DE PROP AGRICOLAS","2019-09-30","2019-11-06"
"BRASILAGRO - CIA BRAS DE PROP AGRICOLAS","2019-12-31","2020-02-03"
"SPRINGS GLOBAL PARTICIPACOES S.A.","2019-03-31","2019-05-18"
"SPRINGS GLOBAL PARTICIPACOES S.A.","2019-06-30","2019-08-14"
"SPRINGS GLOBAL PARTICIPACOES S.A.","2019-09-30","2019-11-13"
"CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.","2019-03-31","2019-05-14"
"CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.","2019-06-30","2019-08-13"
"CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.","2019-09-30","2019-11-13"
"GP INVESTMENTS, LTD.","2019-03-31","2019-05-15"
"GP INVESTMENTS, LTD.","2019-06-30","2019-08-14"
"GP INVESTMENTS, LTD.","2019-09-30","2019-11-13"
"TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.","2019-03-31","2019-05-14"
"TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.","2019-06-30","2019-08-06"
"TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.","2019-09-30","2019-11-13"
"TECNISA S.A.","2019-03-31","2019-05-09"
"TECNISA S.A.","2019-06-30","2019-08-08"
"TECNISA S.A.","2019-09-30","2019-11-08"
"LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.","2019-03-31","2019-05-09"
"LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.","2019-06-30","2019-08-06"
"LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.","2019-09-30","2019-11-14"
"JHSF PARTICIPACOES S.A.","2019-03-31","2019-05-07"
"JHSF PARTICIPACOES S.A.","2019-06-30","2019-08-07"
"JHSF PARTICIPACOES S.A.","2019-09-30","2019-10-30"
"EZ TEC EMPREEND. E PARTICIPACOES S.A.","2019-03-31","2019-05-14"
"EZ TEC EMPREEND. E PARTICIPACOES S.A.","2019-06-30","2019-08-14"
"EZ TEC EMPREEND. E PARTICIPACOES S.A.","2019-09-30","2019-11-13"
"MRV ENGENHARIA E PARTICIPACOES S.A.","2019-03-31","2019-05-08"
"MRV ENGENHARIA E PARTICIPACOES S.A.","2019-06-30","2019-08-08"
"MRV ENGENHARIA E PARTICIPACOES S.A.","2019-09-30","2019-11-12"
"GUARARAPES CONFECCOES S.A.","2019-03-31","2019-05-14"
"GUARARAPES CONFECCOES S.A.","2019-06-30","2019-08-06"
"GUARARAPES CONFECCOES S.A.","2019-09-30","2019-11-06"
"CPFL ENERGIAS RENOVÁVEIS S.A.","2019-03-31","2019-05-06"
"CPFL ENERGIAS RENOVÁVEIS S.A.","2019-06-30","2019-08-07"
"CPFL ENERGIAS RENOVÁVEIS S.A.","2019-09-30","2019-11-11"
"CIA CELG DE PARTICIPACOES - CELGPAR","2019-03-31","2019-05-15"
"CIA CELG DE PARTICIPACOES - CELGPAR","2019-06-30","2019-08-14"
"CIA CELG DE PARTICIPACOES - CELGPAR","2019-09-30","2019-11-14"
"BRASIL BROKERS PARTICIPACOES S.A.","2019-03-31","2019-05-14"
"BRASIL BROKERS PARTICIPACOES S.A.","2019-06-30","2019-08-09"
"BRASIL BROKERS PARTICIPACOES S.A.","2019-09-30","2019-11-06"
"TRISUL S.A.","2019-03-31","2019-05-13"
"TRISUL S.A.","2019-06-30","2019-08-13"
"TRISUL S.A.","2019-09-30","2019-11-12"
"DOMMO ENERGIA S.A.","2019-03-31","2019-05-15"
"DOMMO ENERGIA S.A.","2019-06-30","2019-08-14"
"DOMMO ENERGIA S.A.","2019-09-30","2019-11-13"
"OSX BRASIL S.A.","2019-03-31","2019-05-10"
"OSX BRASIL S.A.","2019-06-30","2019-08-14"
"OSX BRASIL S.A.","2019-09-30","2019-11-08"
"TECHNOS S.A.","2019-03-31","2019-04-26"
"TECHNOS S.A.","2019-06-30","2019-08-13"
"TECHNOS S.A.","2019-09-30","2019-11-11"
"AZUL S.A.","2019-03-31","2019-05-09"
"AZUL S.A.","2019-06-30","2019-08-08"
"AZUL S.A.","2019-09-30","2019-11-07"
"PETRO RIO S.A.","2019-03-31","2019-05-15"
"PETRO RIO S.A.","2019-06-30","2019-08-14"
"PETRO RIO S.A.","2019-09-30","2019-10-31"
"ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.","2019-03-31","2019-05-15"
"ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.","2019-06-30","2019-08-08"
"ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.","2019-09-30","2019-11-07"
"BOA VISTA SERVIÇOS S.A.","2019-03-31","2019-12-12"
"BOA VISTA SERVIÇOS S.A.","2019-06-30","2019-12-12"
"BOA VISTA SERVIÇOS S.A.","2019-09-30","2019-12-12"
"MOURA DUBEUX ENGENHARIA S/A","2019-03-31","2019-05-14"
"MOURA DUBEUX ENGENHARIA S/A","2019-06-30","2019-08-14"
"MOURA DUBEUX ENGENHARIA S/A","2019-09-30","2019-12-09"
"HIDROVIAS DO BRASIL S.A.","2019-03-31","2019-05-15"
"HIDROVIAS DO BRASIL S.A.","2019-06-30","2019-08-13"
"HIDROVIAS DO BRASIL S.A.","2019-09-30","2019-11-14"
"GRUPO SBF S.A.","2019-03-31","2019-05-14"
"GRUPO SBF S.A.","2019-06-30","2019-08-14"
"GRUPO SBF S.A.","2019-09-30","2019-11-13"
"PARANA BCO S.A.","2019-03-31","2019-05-15"
"PARANA BCO S.A.","2019-06-30","2019-08-14"
"PARANA BCO S.A.","2019-09-30","2019-11-12"
"SANSUY S.A. INDUSTRIA DE PLASTICOS","2019-03-31","2019-05-09"
"SANSUY S.A. INDUSTRIA DE PLASTICOS","2019-06-30","2019-08-13"
"SANSUY S.A. INDUSTRIA DE PLASTICOS","2019-09-30","2019-11-13"
"TRONOX PIGMENTOS DO BRASIL S.A.","2019-03-31","2019-05-14"
"TRONOX PIGMENTOS DO BRASIL S.A.","2019-06-30","2019-08-13"
"TRONOX PIGMENTOS DO BRASIL S.A.","2019-09-30","2019-11-13"
"AREZZO INDÚSTRIA E COMÉRCIO S.A.","2019-03-31","2019-05-08"
"AREZZO INDÚSTRIA E COMÉRCIO S.A.","2019-06-30","2019-08-06"
"AREZZO INDÚSTRIA E COMÉRCIO S.A.","2019-09-30","2019-10-30"
"DIRECIONAL ENGENHARIA S.A.","2019-03-31","2019-05-10"
"DIRECIONAL ENGENHARIA S.A.","2019-06-30","2019-08-12"
"DIRECIONAL ENGENHARIA S.A.","2019-09-30","2019-10-31"
"LOCALIZA RENT A CAR S.A.","2019-03-31","2019-04-25"
"LOCALIZA RENT A CAR S.A.","2019-06-30","2019-08-01"
"LOCALIZA RENT A CAR S.A.","2019-09-30","2019-10-23"
"ALFA HOLDINGS S.A.","2019-03-31","2019-05-10"
"ALFA HOLDINGS S.A.","2019-06-30","2019-08-09"
"ALFA HOLDINGS S.A.","2019-09-30","2019-11-08"
"CONSORCIO ALFA DE ADMINISTRACAO S.A.","2019-03-31","2019-05-10"
"CONSORCIO ALFA DE ADMINISTRACAO S.A.","2019-06-30","2019-08-09"
"CONSORCIO ALFA DE ADMINISTRACAO S.A.","2019-09-30","2019-11-08"
"INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.","2019-03-31","2019-05-14"
"INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.","2019-06-30","2019-08-14"
"INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.","2019-09-30","2019-11-08"
"COSAN LOGISTICA S.A.","2019-03-31","2019-05-10"
"COSAN LOGISTICA S.A.","2019-06-30","2019-08-13"
"COSAN LOGISTICA S.A.","2019-09-30","2019-11-12"
"PRINER SERVIÇOS INDUSTRIAIS S.A.","2019-03-31","2019-05-15"
"PRINER SERVIÇOS INDUSTRIAIS S.A.","2019-06-30","2019-08-14"
"PRINER SERVIÇOS INDUSTRIAIS S.A.","2019-09-30","2019-11-14"
"INSTITUTO HERMES PARDINI S.A.","2019-03-31","2019-05-07"
"INSTITUTO HERMES PARDINI S.A.","2019-06-30","2019-08-12"
"INSTITUTO HERMES PARDINI S.A.","2019-09-30","2019-11-05"
"OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.","2019-03-31","2019-05-07"
"OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.","2019-06-30","2019-08-07"
"OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.","2019-09-30","2019-11-05"
"CIA TECIDOS SANTANENSE","2019-03-31","2019-05-18"
"CIA TECIDOS SANTANENSE","2019-06-30","2019-08-14"
"CIA TECIDOS SANTANENSE","2019-09-30","2019-11-13"
"MOVIDA PARTICIPACOES SA","2019-03-31","2019-04-29"
"MOVIDA PARTICIPACOES SA","2019-06-30","2019-08-13"
"MOVIDA PARTICIPACOES SA","2019-09-30","2019-11-06"
"CIA TECIDOS NORTE DE MINAS COTEMINAS","2019-03-31","2019-05-29"
"CIA TECIDOS NORTE DE MINAS COTEMINAS","2019-06-30","2019-08-15"
"CIA TECIDOS NORTE DE MINAS COTEMINAS","2019-09-30","2019-11-14"
"MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.","2019-03-31","2019-05-09"
"MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.","2019-06-30","2019-08-13"
"MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.","2019-09-30","2019-11-13"
"BCO ABC BRASIL S.A.","2019-03-31","2019-05-06"
"BCO ABC BRASIL S.A.","2019-06-30","2019-08-05"
"BCO ABC BRASIL S.A.","2019-09-30","2019-11-06"
"SUL AMERICA S.A.","2019-03-31","2019-05-08"
"SUL AMERICA S.A.","2019-06-30","2019-08-07"
"SUL AMERICA S.A.","2019-09-30","2019-11-07"
"NATURA &CO HOLDING S.A.","2019-03-31","2019-07-26"
"NATURA &CO HOLDING S.A.","2019-06-30","2019-07-26"
"NATURA &CO HOLDING S.A.","2019-09-30","2019-11-13"
"PETROLEO BRASILEIRO S.A. PETROBRAS","2019-03-31","2019-05-07"
"PETROLEO BRASILEIRO S.A. PETROBRAS","2019-06-30","2019-08-01"
"PETROLEO BRASILEIRO S.A. PETROBRAS","2019-09-30","2019-10-24"
"LOJAS AMERICANAS S.A.","2019-03-31","2019-05-09"
"LOJAS AMERICANAS S.A.","2019-06-30","2019-08-08"
"LOJAS AMERICANAS S.A.","2019-09-30","2019-10-30"
"VIA S.A.","2019-03-31","2019-04-23"
"VIA S.A.","2019-06-30","2019-08-14"
"VIA S.A.","2019-09-30","2019-11-13"
"CIA SIDERURGICA NACIONAL","2019-03-31","2019-05-08"
"CIA SIDERURGICA NACIONAL","2019-06-30","2019-07-30"
"CIA SIDERURGICA NACIONAL","2019-09-30","2019-10-23"
"MONTEIRO ARANHA S.A.","2019-03-31","2019-05-15"
"MONTEIRO ARANHA S.A.","2019-06-30","2019-08-14"
"MONTEIRO ARANHA S.A.","2019-09-30","2019-11-14"
"ULTRAPAR PARTICIPACOES S.A.","2019-03-31","2019-05-15"
"ULTRAPAR PARTICIPACOES S.A.","2019-06-30","2019-08-14"
"ULTRAPAR PARTICIPACOES S.A.","2019-09-30","2019-11-06"
"IRB - BRASIL RESSEGUROS S.A.","2019-03-31","2019-05-02"
"IRB - BRASIL RESSEGUROS S.A.","2019-06-30","2019-08-05"
"IRB - BRASIL RESSEGUROS S.A.","2019-09-30","2019-11-06"
"VALE S.A.","2019-03-31","2019-05-09"
"VALE S.A.","2019-06-30","2019-07-31"
"VALE S.A.","2019-09-30","2019-10-24"
"GERDAU S.A.","2019-03-31","2019-05-08"
"GERDAU S.A.","2019-06-30","2019-08-07"
"GERDAU S.A.","2019-09-30","2019-10-30"
"VIBRA ENERGIA S/A","2019-03-31","2019-05-06"
"VIBRA ENERGIA S/A","2019-06-30","2019-07-31"
"VIBRA ENERGIA S/A","2019-09-30","2019-11-11"
"BRASKEM S.A.","2019-03-31","2019-05-08"
"BRASKEM S.A.","2019-06-30","2019-08-07"
"BRASKEM S.A.","2019-09-30","2019-11-14"
"LOG-IN LOGISTICA INTERMODAL S.A.","2019-03-31","2019-05-14"
"LOG-IN LOGISTICA INTERMODAL S.A.","2019-06-30","2019-08-14"
"LOG-IN LOGISTICA INTERMODAL S.A.","2019-09-30","2019-11-01"
"CENTRO DE IMAGEM DIAGNOSTICOS S.A.","2019-03-31","2019-05-13"
"CENTRO DE IMAGEM DIAGNOSTICOS S.A.","2019-06-30","2019-08-13"
"CENTRO DE IMAGEM DIAGNOSTICOS S.A.","2019-09-30","2019-11-12"
"EVEN CONSTRUTORA E INCORPORADORA S.A.","2019-03-31","2019-05-09"
"EVEN CONSTRUTORA E INCORPORADORA S.A.","2019-06-30","2019-08-14"
"EVEN CONSTRUTORA E INCORPORADORA S.A.","2019-09-30","2019-11-12"
"PROFARMA DISTRIB PROD FARMACEUTICOS S.A.","2019-03-31","2019-05-14"
"PROFARMA DISTRIB PROD FARMACEUTICOS S.A.","2019-06-30","2019-07-22"
"PROFARMA DISTRIB PROD FARMACEUTICOS S.A.","2019-09-30","2019-11-12"
"MAGAZINE LUIZA S.A.","2019-03-31","2019-05-06"
"MAGAZINE LUIZA S.A.","2019-06-30","2019-08-12"
"MAGAZINE LUIZA S.A.","2019-09-30","2019-10-29"
"HELBOR EMPREENDIMENTOS S.A.","2019-03-31","2019-05-15"
"HELBOR EMPREENDIMENTOS S.A.","2019-06-30","2019-08-13"
"HELBOR EMPREENDIMENTOS S.A.","2019-09-30","2019-11-13"
"BOMBRIL S.A.","2019-03-31","2019-05-10"
"BOMBRIL S.A.","2019-06-30","2019-08-08"
"BOMBRIL S.A.","2019-09-30","2019-11-14"
"VULCABRAS S.A.","2019-03-31","2019-05-06"
"VULCABRAS S.A.","2019-06-30","2019-08-05"
"VULCABRAS S.A.","2019-09-30","2019-11-04"
"NUTRIPLANT INDUSTRIA E COMERCIO S.A.","2019-03-31","2019-05-14"
"NUTRIPLANT INDUSTRIA E COMERCIO S.A.","2019-06-30","2019-08-13"
"NUTRIPLANT INDUSTRIA E COMERCIO S.A.","2019-09-30","2019-11-13"
"IGUATEMI EMPRESA DE SHOPPING CENTERS S.A","2019-03-31","2019-05-07"
"IGUATEMI EMPRESA DE SHOPPING CENTERS S.A","2019-06-30","2019-08-06"
"IGUATEMI EMPRESA DE SHOPPING CENTERS S.A","2019-09-30","2019-11-07"
"SAO MARTINHO S.A.","2019-06-30","2019-08-12"
"SAO MARTINHO S.A.","2019-09-30","2019-11-11"
"SAO MARTINHO S.A.","2019-12-31","2020-02-10"
"PLASCAR PARTICIPACOES INDUSTRIAIS S.A.","2019-03-31","2019-05-13"
"PLASCAR PARTICIPACOES INDUSTRIAIS S.A.","2019-06-30","2019-08-08"
"PLASCAR PARTICIPACOES INDUSTRIAIS S.A.","2019-09-30","2019-11-06"
"TOTVS S.A.","2019-03-31","2019-05-08"
"TOTVS S.A.","2019-06-30","2019-08-07"
"TOTVS S.A.","2019-09-30","2019-11-06"
"BICICLETAS MONARK S.A.","2019-03-31","2019-05-14"
"BICICLETAS MONARK S.A.","2019-06-30","2019-08-12"
"BICICLETAS MONARK S.A.","2019-09-30","2019-11-11"
"ODONTOPREV S.A.","2019-03-31","2019-05-02"
"ODONTOPREV S.A.","2019-06-30","2019-08-01"
"ODONTOPREV S.A.","2019-09-30","2019-10-30"
"WHIRLPOOL S.A.","2019-03-31","2019-05-13"
"WHIRLPOOL S.A.","2019-06-30","2019-08-13"
"WHIRLPOOL S.A.","2019-09-30","2019-11-14"
"PARANAPANEMA S.A.","2019-03-31","2019-04-26"
"PARANAPANEMA S.A.","2019-06-30","2019-08-01"
"PARANAPANEMA S.A.","2019-09-30","2019-11-07"
"MAHLE-METAL LEVE S.A.","2019-03-31","2019-05-15"
"MAHLE-METAL LEVE S.A.","2019-06-30","2019-08-12"
"MAHLE-METAL LEVE S.A.","2019-09-30","2019-11-14"
"FLEURY S.A.","2019-03-31","2019-04-25"
"FLEURY S.A.","2019-06-30","2019-07-25"
"FLEURY S.A.","2019-09-30","2019-10-24"
"ITAU UNIBANCO HOLDING S.A.","2019-03-31","2019-05-02"
"ITAU UNIBANCO HOLDING S.A.","2019-06-30","2019-07-29"
"ITAU UNIBANCO HOLDING S.A.","2019-09-30","2019-11-04"
"MANGELS INDUSTRIAL S.A.","2019-03-31","2019-05-16"
"MANGELS INDUSTRIAL S.A.","2019-06-30","2019-08-15"
"MANGELS INDUSTRIAL S.A.","2019-09-30","2019-11-13"
"ROSSI RESIDENCIAL S.A.","2019-03-31","2019-05-14"
"ROSSI RESIDENCIAL S.A.","2019-06-30","2019-08-14"
"ROSSI RESIDENCIAL S.A.","2019-09-30","2019-11-13"
"MANUFATURA DE BRINQUEDOS ESTRELA S.A.","2019-03-31","2019-05-15"
"MANUFATURA DE BRINQUEDOS ESTRELA S.A.","2019-06-30","2019-08-14"
"MANUFATURA DE BRINQUEDOS ESTRELA S.A.","2019-09-30","2019-11-14"
"CAMBUCI S.A.","2019-03-31","2019-05-08"
"CAMBUCI S.A.","2019-06-30","2019-08-01"
"CAMBUCI S.A.","2019-09-30","2019-10-31"
"IOCHPE MAXION S.A.","2019-03-31","2019-05-08"
"IOCHPE MAXION S.A.","2019-06-30","2019-08-06"
"IOCHPE MAXION S.A.","2019-09-30","2019-11-06"
"SIDERURGICA J. L. ALIPERTI S.A.","2019-03-31","2019-05-10"
"SIDERURGICA J. L. ALIPERTI S.A.","2019-06-30","2019-08-14"
"SIDERURGICA J. L. ALIPERTI S.A.","2019-09-30","2019-11-14"
"BANCO BMG S/A","2019-03-31","2019-05-09"
"BANCO BMG S/A","2019-06-30","2019-08-08"
"BANCO BMG S/A","2019-09-30","2019-11-14"
"MARISA LOJAS S.A.","2019-03-31","2019-05-09"
"MARISA LOJAS S.A.","2019-06-30","2019-08-08"
"MARISA LOJAS S.A.","2019-09-30","2019-11-07"
"BAUMER S.A.","2019-03-31","2019-05-14"
"BAUMER S.A.","2019-06-30","2019-08-14"
"BAUMER S.A.","2019-09-30","2019-11-14"
"DIAGNOSTICOS DA AMERICA S.A.","2019-03-31","2019-05-14"
"DIAGNOSTICOS DA AMERICA S.A.","2019-06-30","2019-08-14"
"DIAGNOSTICOS DA AMERICA S.A.","2019-09-30","2019-11-14"
"RAIA DROGASIL S.A.","2019-03-31","2019-04-29"
"RAIA DROGASIL S.A.","2019-06-30","2019-08-06"
"RAIA DROGASIL S.A.","2019-09-30","2019-10-29"
"BCO PINE S.A.","2019-03-31","2019-05-09"
"BCO PINE S.A.","2019-06-30","2019-08-12"
"BCO PINE S.A.","2019-09-30","2019-11-11"
"CAMIL ALIMENTOS S.A.","2019-05-31","2019-07-11"
"CAMIL ALIMENTOS S.A.","2019-08-31","2019-10-10"
"CAMIL ALIMENTOS S.A.","2019-11-30","2020-01-09"
"RNI NEGÓCIOS IMOBILIÁRIOS S.A.","2019-03-31","2019-05-09"
"RNI NEGÓCIOS IMOBILIÁRIOS S.A.","2019-06-30","2019-08-08"
"RNI NEGÓCIOS IMOBILIÁRIOS S.A.","2019-09-30","2019-11-06"
"MINERVA S.A.","2019-03-31","2019-05-14"
"MINERVA S.A.","2019-06-30","2019-07-25"
"MINERVA S.A.","2019-09-30","2019-11-12"
"CONSTRUTORA TENDA S.A.","2019-03-31","2019-05-09"
"CONSTRUTORA TENDA S.A.","2019-06-30","2019-08-08"
"CONSTRUTORA TENDA S.A.","2019-09-30","2019-11-07"
"KARSTEN S.A.","2019-03-31","2019-05-15"
"KARSTEN S.A.","2019-06-30","2019-08-14"
"KARSTEN S.A.","2019-09-30","2019-11-14"
"ELECTRO ACO ALTONA S.A.","2019-03-31","2019-05-10"
"ELECTRO ACO ALTONA S.A.","2019-06-30","2019-08-09"
"ELECTRO ACO ALTONA S.A.","2019-09-30","2019-11-13"
"TEXTIL RENAUXVIEW S.A.","2019-03-31","2019-05-15"
"TEXTIL RENAUXVIEW S.A.","2019-06-30","2019-08-12"
"TEXTIL RENAUXVIEW S.A.","2019-09-30","2019-11-11"
"PBG S/A","2019-03-31","2019-05-10"
"PBG S/A","2019-06-30","2019-08-09"
"PBG S/A","2019-09-30","2019-11-14"
"WEG S.A.","2019-03-31","2019-04-24"
"WEG S.A.","2019-06-30","2019-07-24"
"WEG S.A.","2019-09-30","2019-10-23"
"TUPY S.A.","2019-03-31","2019-05-14"
"TUPY S.A.","2019-06-30","2019-08-14"
"TUPY S.A.","2019-09-30","2019-11-11"
"DOHLER S.A.","2019-03-31","2019-05-14"
"DOHLER S.A.","2019-06-30","2019-08-13"
"DOHLER S.A.","2019-09-30","2019-11-13"
"SCHULZ S.A.","2019-03-31","2019-05-09"
"SCHULZ S.A.","2019-06-30","2019-08-06"
"SCHULZ S.A.","2019-09-30","2019-11-13"
"METALURGICA RIOSULENSE S.A.","2019-03-31","2019-05-09"
"METALURGICA RIOSULENSE S.A.","2019-06-30","2019-08-14"
"METALURGICA RIOSULENSE S.A.","2019-09-30","2019-11-13"
"METISA METALURGICA TIMBOENSE S.A.","2019-03-31","2019-05-14"
"METISA METALURGICA TIMBOENSE S.A.","2019-06-30","2019-08-09"
"METISA METALURGICA TIMBOENSE S.A.","2019-09-30","2019-11-13"
"JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP","2019-03-31","2019-05-15"
"JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP","2019-06-30","2019-08-14"
"JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP","2019-09-30","2019-11-14"
"FRAS-LE S.A.","2019-03-31","2019-05-08"
"FRAS-LE S.A.","2019-06-30","2019-08-12"
"FRAS-LE S.A.","2019-09-30","2019-11-12"
"MUNDIAL S.A. - PRODUTOS DE CONSUMO","2019-03-31","2019-05-15"
"MUNDIAL S.A. - PRODUTOS DE CONSUMO","2019-06-30","2019-08-14"
"MUNDIAL S.A. - PRODUTOS DE CONSUMO","2019-09-30","2019-11-14"
"MARCOPOLO S.A.","2019-03-31","2019-05-06"
"MARCOPOLO S.A.","2019-06-30","2019-08-05"
"MARCOPOLO S.A.","2019-09-30","2019-11-04"
"RANDON S.A. IMPLEMENTOS E PARTICIPACOES","2019-03-31","2019-05-09"
"RANDON S.A. IMPLEMENTOS E PARTICIPACOES","2019-06-30","2019-08-13"
"RANDON S.A. IMPLEMENTOS E PARTICIPACOES","2019-09-30","2019-11-13"
"SLC AGRICOLA S.A.","2019-03-31","2019-05-08"
"SLC AGRICOLA S.A.","2019-06-30","2019-08-14"
"SLC AGRICOLA S.A.","2019-09-30","2019-11-13"
"KLABIN S.A.","2019-03-31","2019-05-02"
